frame,filename,x,y,z,az,pitch,roll,bearing,elevation,reproj_err_px
169,000169.png,0.341197,-0.931989,3.636562,5.360,14.314,0.000,5.360,14.375,0.385
170,000170.png,0.365570,-0.942862,3.673036,5.684,14.329,0.000,5.684,14.397,0.270
171,000171.png,0.383662,-0.932852,3.639558,6.018,14.300,0.000,6.018,14.376,0.126
172,000172.png,0.402382,-0.927491,3.619582,6.343,14.288,0.000,6.343,14.372,0.112
173,000173.png,0.428670,-0.946446,3.685873,6.634,14.309,0.000,6.634,14.401,0.224
174,000174.png,0.448636,-0.933085,3.640282,7.026,14.273,0.000,7.026,14.377,0.118
175,000175.png,0.468367,-0.926835,3.617043,7.378,14.258,0.000,7.378,14.372,0.158
176,000176.png,0.494048,-0.933080,3.640143,7.729,14.252,0.000,7.729,14.377,0.113
177,000177.png,0.513260,-0.930079,3.643495,8.019,14.186,0.000,8.019,14.320,0.301
178,000178.png,0.527245,-0.919389,3.595366,8.343,14.198,0.000,8.343,14.344,0.181
179,000179.png,0.555800,-0.933610,3.646885,8.665,14.202,0.000,8.665,14.359,0.159
180,000180.png,0.575633,-0.928089,3.633799,9.001,14.158,0.000,9.001,14.327,0.130
181,000181.png,0.595206,-0.928319,3.634631,9.300,14.147,0.000,9.300,14.328,0.133
182,000182.png,0.621676,-0.938520,3.668461,9.618,14.157,0.000,9.618,14.350,0.324
183,000183.png,0.642152,-0.939914,3.673287,9.916,14.147,0.000,9.916,14.353,0.318
184,000184.png,0.662000,-0.940458,3.674694,10.212,14.137,0.000,10.212,14.355,0.316
185,000185.png,0.668692,-0.924708,3.621024,10.463,14.097,0.000,10.463,14.326,0.142
186,000186.png,0.679222,-0.912919,3.580179,10.742,14.064,0.000,10.742,14.305,0.128
187,000187.png,0.707707,-0.922339,3.622379,11.055,14.031,0.000,11.055,14.285,0.068
188,000188.png,0.723064,-0.917852,3.614078,11.314,13.984,0.000,11.314,14.250,0.143
189,000189.png,0.742412,-0.919913,3.614634,11.607,13.998,0.000,11.607,14.278,0.381
190,000190.png,0.751629,-0.908564,3.575791,11.871,13.964,0.000,11.871,14.256,0.115
191,000191.png,0.779736,-0.910309,3.590318,12.253,13.916,0.000,12.253,14.227,0.081
192,000192.png,0.805830,-0.916927,3.628233,12.522,13.859,0.000,12.522,14.183,0.364
193,000193.png,0.825638,-0.917389,3.629979,12.814,13.844,0.000,12.814,14.183,0.368
