   frame             x             y             z          roll         pitch           yaw
     311      1.528782     -0.014440      4.053984     -0.249601      0.154048    -87.035213
     312      1.595359     -0.014261      4.050536     -0.249601      0.154048    -87.035213
     313      1.595359     -0.014261      4.050536     -0.249601      0.154048    -87.035213
     314      1.661937     -0.014082      4.047088     -0.249601      0.154048    -87.035213
     315      1.661937     -0.014082      4.047088     -0.249601      0.154048    -87.035213
     316      1.661937     -0.014082      4.047088     -0.249601      0.154048    -87.035213
     317      1.728514     -0.013903      4.043639     -0.249601      0.154048    -87.035213
     318      1.728514     -0.013903      4.043639     -0.249601      0.154048    -87.035213
     319      1.795091     -0.013724      4.040191     -0.249601      0.154048    -87.035213
     320      1.795091     -0.013724      4.040191     -0.249601      0.154048    -87.035213
     321      1.795091     -0.013724      4.040191     -0.249601      0.154048    -87.035213
     322      1.861668     -0.013544      4.036743     -0.249601      0.154048    -87.035213
     323      1.861668     -0.013544      4.036743     -0.249601      0.154048    -87.035213
     324      1.928245     -0.013365      4.033295     -0.249601      0.154048    -87.035213
     325      1.928245     -0.013365      4.033295     -0.249601      0.154048    -87.035213
     326      1.928245     -0.013365      4.033295     -0.249601      0.154048    -87.035213
     327      1.994823     -0.013186      4.029847     -0.249601      0.154048    -87.035213
     328      1.994823     -0.013186      4.029847     -0.249601      0.154048    -87.035213
     329      1.994823     -0.013186      4.029847     -0.249601      0.154048    -87.035213
     330      2.061400     -0.013007      4.026399     -0.249601      0.154048    -87.035213
     331      2.061400     -0.013007      4.026399     -0.249601      0.154048    -87.035213
     332      2.061400     -0.013007      4.026399     -0.241196      0.166900    -84.035229
     333      2.061400     -0.013007      4.026399     -0.241196      0.166900    -84.035229
     334      2.061400     -0.013007      4.026399     -0.241196      0.166900    -84.035229
     335      2.061400     -0.013007      4.026399     -0.232131      0.179295    -81.035241
     336      2.061400     -0.013007      4.026399     -0.232131      0.179295    -81.035241
     337      2.061400     -0.013007      4.026399     -0.222429      0.191198    -78.035249
     338      2.061400     -0.013007      4.026399     -0.222429      0.191198    -78.035249
     339      2.061400     -0.013007      4.026399     -0.222429      0.191198    -78.035249
     340      2.061400     -0.013007      4.026399     -0.212118      0.202577    -75.035253
     341      2.061400     -0.013007      4.026399     -0.212118      0.202577    -75.035253
     342      2.061400     -0.013007      4.026399     -0.212118      0.202577    -75.035253
     343      2.061400     -0.013007      4.026399     -0.201225      0.213401    -72.035252
     344      2.061400     -0.013007      4.026399     -0.201225      0.213401    -72.035252
     345      2.061400     -0.013007      4.026399     -0.201225      0.213401    -72.035252
     346      2.061400     -0.013007      4.026399     -0.189781      0.223640    -69.035248
     347      2.061400     -0.013007      4.026399     -0.189781      0.223640    -69.035248
     348      2.061400     -0.013007      4.026399     -0.177817      0.233265    -66.035239
     349      2.061400     -0.013007      4.026399     -0.177817      0.233265    -66.035239
     350      2.061400     -0.013007      4.026399     -0.177817      0.233265    -66.035239
     351      2.061400     -0.013007      4.026399     -0.165365      0.242252    -63.035227
     352      2.061400     -0.013007      4.026399     -0.165365      0.242252    -63.035227
     353      2.061400     -0.013007      4.026399     -0.165365      0.242252    -63.035227
     354      2.061400     -0.013007      4.026399     -0.152460      0.250574    -60.035211
     355      2.061400     -0.013007      4.026399     -0.152460      0.250574    -60.035211
     356      2.061400     -0.013007      4.026399     -0.152460      0.250574    -60.035211
     357      2.061400     -0.013007      4.026399     -0.139137      0.258210    -57.035191
     358      2.061400     -0.013007      4.026399     -0.139137      0.258210    -57.035191
